"time","series","action","status","source_path","target_path","details"
"2026-04-29 18:32:22","-","reference-scan","INFO","\\Emilian_TNAS\emildg8\Video\Сериалы","","Папка-референс доступна."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 1\38 обезьян - S01E01 - Эпизод 1.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 1\38 обезьян - S01E02 - Эпизод 2.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 1\38 обезьян - S01E03 - Эпизод 3.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 1\38 обезьян - S01E04 - Эпизод 4.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 1\38 обезьян - S01E05 - Эпизод 5.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 1\38 обезьян - S01E06 - Эпизод 6.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 1\38 обезьян - S01E13 - Серия 13.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 1\38 обезьян - S01E14 - Серия 14.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 1\38 обезьян - S01E15 - Серия 15.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 1\38 обезьян - S01E16 - Серия 16.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 1\38 обезьян - S01E17 - Серия 17.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 1\38 обезьян - S01E18 - Серия 18.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 2\38 обезьян - S02E07 - Серия 7.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 2\38 обезьян - S02E08 - Серия 8.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 2\38 обезьян - S02E09 - Серия 9.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 2\38 обезьян - S02E10 - Серия 10.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 2\38 обезьян - S02E11 - Серия 11.avi","","Уже корректно."
"2026-04-29 18:32:28","38 обезьян","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\38 обезьян\Сезон 2\38 обезьян - S02E12 - Серия 12.avi","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E01 - Гроза жуков.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E02 - День грязи.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E03 - Птицы небесные.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E04 - Грозное пророчество (Глаз Фашума).ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E05 - Мартышкин труд.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E06 - Мой прекрасный Аладдин.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E07 - Как воров лечат.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E08 - Танцор-сокрушитель.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E09 - Рыбалка в пустыне (То, что дороже сокровищ).ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E10 - Серия 10.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E11 - Серия 11.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E12 - Серия 12.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E13 - Серия 13.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E14 - Серия 14.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E15 - Серия 15.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E16 - Серия 16.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E17 - Серия 17.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E18 - Серия 18.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E19 - Серия 19.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E20 - Серия 20.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E21 - Серия 21.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E22 - Серия 22.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E23 - Серия 23.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E24 - Серия 24.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E25 - Серия 25.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E26 - Серия 26.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E27 - Серия 27.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E28 - Серия 28.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E29 - Серия 29.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E30 - Серия 30.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E31 - Серия 31.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E32 - Серия 32.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E33 - Серия 33.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E34 - Серия 34.ts","","Уже корректно."
